"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","From_PrivateTag","To","To_PrivateTag","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3135.84907092/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0x6cb6fe3e18c28f43e0a5705fcd60ac61650f80b6239bea3db1f0b2b19bb75354","13026731","1628989373","2021-08-15 01:02:53","0x102b6c2e4b4e3460510f9c2cdefb75ad7d6da9de","-","","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","0","0","0","0.101821818831870756","319.297855983306","3311.12","","","0x60806040",""
"0x0233b14b5a38c120f4150c105d9133474719260fe042c5e927e2d0df8b145f81","13027928","1629005982","2021-08-15 05:39:42","0x102b6c2e4b4e3460510f9c2cdefb75ad7d6da9de","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0","0","0","0.142397330446017282","446.536536380632","3311.12","","","Reserve Mad Bananas",""
"0x6a730f4feaad2b88aefc278c7c94665970cdd4ad3c1b941d910d43784ca1bbf3","13042374","1629199011","2021-08-17 11:16:51","0x102b6c2e4b4e3460510f9c2cdefb75ad7d6da9de","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0","0","0","0.002993151532430916","9.38607145209626","3011.96","","","Set Base URI",""
"0xb7e03465bde25b63a70944df259d683fbc25601647aeb81638f7f25599794d06","13043791","1629217642","2021-08-17 16:27:22","0x2ceb1ecff33a9d4c578bc609f5920d0dcedb367b","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.0001","0","0.313584907092","0.001351240496023136","4.23728625404363","3011.96","Error(0)","Reverted","Mint Mad Banana",""
"0xfdab2eb02af55391577814f1ce82fbffdd4f88f9b393d97bb3496537798c3c7b","13043929","1629219582","2021-08-17 16:59:42","0x102b6c2e4b4e3460510f9c2cdefb75ad7d6da9de","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0","0","0","0.00292896","9.18477649476184","3011.96","","","Flip Sale State",""
"0x0437f72fbd30f780578823a2581faba7c518848dfb5c9e983ba6fccbbe6be7c2","13043932","1629219616","2021-08-17 17:00:16","0x55a804b316467295e518fa9c30d04755bfc0869c","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.0636673","199.651043552985","3011.96","","","Mint Mad Banana",""
"0xfd29a5416e3275e28f17611a282cbfa3713612ad0e32e3e002c276b0e1235140","13043932","1629219616","2021-08-17 17:00:16","0xebb28308e53e4f4464b5896b0c2acf50c7a42df8","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.042","0","131.70566097864","0.01099300042794519","34.4723901785951","3011.96","","","Mint Mad Banana",""
"0xf00f413c2c468a306b0edb1e884b2b1c6eb5768bf3057139ee0403e2a619d2db","13043933","1629219617","2021-08-17 17:00:17","0x271809ecad53899b75ec39c998948b18294ac4a7","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.001194441183121428","3.74558727435992","3011.96","Error(0)","Reverted","Mint Public Sale",""
"0x3e41dd830fa3fb56d793dae344382856e1824502cdd46b33fd5c933d9843f7a1","13043933","1629219617","2021-08-17 17:00:17","0x271809ecad53899b75ec39c998948b18294ac4a7","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.001371392","4.30047832906712","3011.96","Error(0)","Reverted","Mint Public Sale",""
"0x3b3ae8ad470a77c5900dd27814896d8f8bfa4db489fe9f3d51599f8acc3b3413","13043933","1629219617","2021-08-17 17:00:17","0xefa3254af4ea456d69bc2326e0dbb6fc89bedfac","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.035489474117111673","111.289634437584","3011.96","","","Mint Mad Banana",""
"0x1505b910f56c788f68626de5690e2b933b837411e78fe51a2dd704e51ae17822","13043933","1629219617","2021-08-17 17:00:17","0xefa3254af4ea456d69bc2326e0dbb6fc89bedfac","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.039652672","124.344794650696","3011.96","","","Mint Mad Banana",""
"0x7088fb741d05bc0e5102a369ccc167cd5300b0c86d67ca004207701440776325","13043933","1629219617","2021-08-17 17:00:17","0x15f3d8d900feadd4425495485ed986dcb362a2a9","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.067785429015341055","212.564874599671","3011.96","","","Mint Mad Banana",""
"0x5e7f64df558530f68b68e34db175dcd1444e0cb20b35086cb765a2632cb34144","13043933","1629219617","2021-08-17 17:00:17","0x15f3d8d900feadd4425495485ed986dcb362a2a9","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.07673312","240.623483060793","3011.96","","","Mint Mad Banana",""
"0x63160f668e7aa91f9205ef0d1fab511b59f73261f34f8c7629b91628b6a1e56a","13043933","1629219617","2021-08-17 17:00:17","0x5668e6e8f3c31d140cc0be918ab8bb5c5b593418","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.001194441183121428","3.74558727435992","3011.96","Error(0)","Reverted","Mint Public Sale",""
"0x3a735232ea3813a31ed61f0015bf0cfd27cb11e2c5801526463effeb148f808b","13043933","1629219617","2021-08-17 17:00:17","0x5668e6e8f3c31d140cc0be918ab8bb5c5b593418","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.001371392","4.30047832906712","3011.96","Error(0)","Reverted","Mint Public Sale",""
"0x68f6e8b3d40b6ff1df0e6a9915096b4e17479234d0dde48966f3a611a1dac03c","13043934","1629219620","2021-08-17 17:00:20","0xa0d4e6501529d25aa3fcd5d473ab859235da49a9","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.084","0","263.41132195728","0.0346854","108.768179364489","3011.96","","","Mint Mad Banana",""
"0x6d85bfbfb82b79eed4569277e0a5a02cb1d14dc09a860b2443a3c9f745e21884","13043934","1629219620","2021-08-17 17:00:20","0xba05f4a3639ebcdf1e9ea8bb8c0a00f3511b97ce","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.21","0","658.5283048932","0.070670703","221.612658343813","3011.96","","","Mint Mad Banana",""
"0x21294c742c331c559d87b78f347cf9076cae72a21025a0a8ddc78cb7c1caa4d8","13043935","1629219626","2021-08-17 17:00:26","0xe55f999658cc5b5f3e0ed97f81d0aea0dcf48ec8","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.084","0","263.41132195728","0.01907697","59.8224986504687","3011.96","","","Mint Mad Banana",""
"0xd5ae7e82e708d885e93a7508bcb86d56cbea46df622cc76c15afcc53f30820c4","13043935","1629219626","2021-08-17 17:00:26","0x5b49735f19f1e029c9b7e88898e8871eeab8388b","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.042","0","131.70566097864","0.01045580046894972","32.7878121862809","3011.96","","","Mint Mad Banana",""
"0xde99c14eb59c9c306c8a5f6c38a8d7b7c82b0ca03d199f8a75b9356a59176ff6","13043936","1629219629","2021-08-17 17:00:29","0xb4742fd474cac814f5297502746c9a97c08a0a2c","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.042","0","131.70566097864","0.00945660371757813","29.654481981826","3011.96","","","Mint Mad Banana",""
"0x031de77abc89cf5824ce987b5adc3ce90e9a6e3bb194b1d15e6f766b972d9cb0","13043937","1629219631","2021-08-17 17:00:31","0x2438aaa4e88ae786e4fe25695cebe151b2c36124","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.3648165","1144.00948258129","3011.96","","","Mint Mad Banana",""
"0xfa3408c3f6b9a80f72a43c7113dbab6ceaa0156f847460c33577af0a83fe8454","13043937","1629219631","2021-08-17 17:00:31","0x71331f76038117f177446dff68139cd068b3d5ce","-","0x7eba76cc3f0ffb89d6a9eed8f50e3db0cd445852","-","","0.42","0","1317.0566097864","0.1216055","381.336494193762","3011.96","","","Mint Mad Banana",""
